Id,Injured,Dead,Keywords,Causes,Consequences
1166,1,0,"fire - consequence, refining",equipment,
1167,0,0,unknown chemicals,,
1168,0,1,,,
1169,0,0,"fire - consequence, power supply failure, refining",utility,
1170,0,0,"environmental, refining, ",,
1171,0,0,"fire - consequence, cracking, management system inadequate",equipment,plant
1172,0,0,,,plant
1173,0,0,"fire - consequence, mixing",,
1174,0,0,"material transfer, refining, flange failure",equipment,
1175,0,0,"gas / vapour release, installation inadequate","equipment, human",plant
1176,0,20,,,
1177,0,0,"unloading, road tanker, near miss",equipment,nearmiss
1178,2,0,"fire - consequence, damage to equipment, catalytic cracker, refining, cracking",,plant
1179,0,0,"fire - consequence, valve failure, spill, design or procedure error, refining, oil - hot",equipment,plant
1180,0,0,cracking,,
1181,0,0,"fire - consequence, refining",,
1182,0,0,"fire - consequence, refining, storage tanks",,
1183,0,5,"damage to equipment, processing, batch reaction, fatality",,plant
1184,0,0,"fire - consequence, refining",,
1185,0,0,"fire - consequence, refining, processing",,
1186,0,0,,,
1187,1,2,"catalytic cracker, gas / vapour release, refining",,
1188,0,0,fire - consequence,,
1189,0,0,"fire - consequence, refining",,
1190,0,0,"fire - consequence, damage to equipment, evacuation, refining",,plant
1191,4,1,"fire - consequence, human causes, damage to equipment, identification inadequate, overheating, chemicals added incorrectly, charging reactor, reactors and reaction equipment","chemical, human, process",plant
1192,0,0,"fire - consequence, refining",,
1193,0,0,"storage tanks, fire - consequence",,
1194,0,0,"unloading, road tanker, driver error, operation inadequate, spill",,
1195,0,0,"explosion, fire - consequence",,
1196,0,0,"fire - consequence, processing, overpressurisation, high pressure",process,
1197,0,0,"fire - consequence, damage to equipment, refining, processing",equipment,plant
1198,1,0,"overpressurisation, instrumentation failure, mechanical equipment failure, design or procedure error, spill, refining, burns","equipment, process",
1199,0,0,"processing, refining",,
1200,0,0,"fire - consequence, damage to equipment, refining, civil war",external,plant
1201,0,0,refining,,
1202,0,0,"fire - consequence, damage to equipment, cracking",,plant
1203,4,0,,,
1204,0,0,"fire - consequence, refining",equipment,
1205,0,0,,,
1206,0,0,coupling failure,external,
1207,0,0,coupling failure,external,
1208,0,0,"fire - consequence, refining",,
1209,0,0,"fire - consequence, power supply failure, cracking",utility,
1210,0,0,fire - consequence,,
1211,0,0,refining,,plant
1212,0,0,overpressurisation,process,
1213,0,0,damage to equipment,,plant
1214,0,1,"safety procedures inadequate, fall",human,
1215,0,0,"fire - consequence, refining",,
1216,0,0,gas / vapour release,,
1217,10,3,"fire - consequence, refining",,
1218,4,1,,,
1219,0,0,spill,,
1220,1,0,"fire - consequence, refining",,
1221,0,0,"fire - consequence, cracking",,
1222,0,0,fire - consequence,chemical,plant
1223,0,0,"fire - consequence, cracking",,
1224,2,5,,,
1225,7,0,"fire - consequence, cracking",,
1226,0,0,refining,equipment,
1227,0,0,"fire - consequence, refining",,
1228,0,0,"coupling failure, design or procedure error, fire - consequence, refining, temporary equipment",external,plant
1229,0,0,,,plant
1230,0,0,"fire - consequence, hot surface, spill, damage to equipment, design or procedure error",external,plant
1231,0,0,"fire - consequence, refining",,
1232,0,0,"extrusion, plant / property / equipment",,
1233,0,0,gas / vapour release,,
1234,0,0,"operator error, pollution, gas / vapour release",human,
1235,0,1,"design or procedure error, refining, fatality","equipment, utility",
1236,0,0,"fire - consequence, spill, refining",,plant
1237,0,0,"thermal degradation, stress corrosion cracking, refining","equipment, process",
1238,0,0,"hydraulic failure, catalyst regenerator, cracking",utility,
1239,0,0,"fire - consequence, refining",,
1240,0,0,"unloading, material of construction failure",,
1241,39,0,"runaway reaction, fire - consequence, weather effects",chemical,
1242,65,0,unwanted chemical reaction,,
1243,0,0,"operator error, fire - consequence, testing inadequate, refining",human,
1244,4,0,,,
1245,1,0,,,
1246,0,0,sinking,,transport
1247,0,0,"seal failure, fire - consequence, cracking",equipment,
1248,0,0,"fire - consequence, refining",,
1249,0,0,"tube failure, fire - consequence, cracking",equipment,
1250,10,0,"fire - consequence, refining",,
1251,0,0,"fire - consequence, refining, cracking",,
1252,0,0,hose failure,equipment,
1253,0,0,"loading, overpressurisation, design or procedure error",process,
1254,0,0,human causes,,plant
1255,0,0,"process causes, design or precedure error, maintenance inadequate, refining, mechanical equipment failure, maintenance inadequate",human,
1256,0,0,"safety procedures inadequate, refining","human, utility",
1257,0,0,"fire - consequence, refining, cracking",,plant
1258,0,0,"refining, fire - consequence",,
1259,10,0,"refining, fire - consequence",,
1260,0,0,,,
1261,0,0,"loading, operation inadequate, near miss",,nearmiss
1262,0,0,,,nearmiss
1263,0,0,"loading, fire - consequence, leak, human causes",,
1264,1,0,"fire - consequence, refining",,
1265,4,0,"operation inadequate, gas / vapour release, refining",,
1266,0,0,"fire - consequence, cracking",,
1267,2,0,"fire - consequence, dust explosion, charging reactor, naphthol",equipment,
1268,0,0,"fire - consequence, refining",,
1269,0,0,"plant shutdown, electrical equipment failure, operation inadequate, refining, damage to equipment",,plant
1270,0,0,"cooling equipment, operator error, design or procedure error, plant shutdown, fluid cracker",human,plant
1271,9,0,,,
1272,0,0,,,
1273,0,0,"weather effects, cooling equipment, spill, isolation inadequate, refining","equipment, human",
1274,0,0,"reactors and reaction equipment, refining, cracking",equipment,plant
1275,0,1,"permit to work system inadequate, fatality, loading",management,
1276,0,0,"fire - consequence, refining",,
1277,0,0,,,
1278,0,0,,,
1279,0,3,"fire - consequence, sinking",,transport
1280,0,0,"fire - consequence, hot work, damage to equipment",,
1281,0,0,"fire - consequence, refining",external,
1282,0,0,"fire - consequence, plant shutdown, refining, cracking",,
1283,3,1,"fatality, heating, black powder (gunpowder)",,
1284,0,0,,,
1285,0,0,"overflow, refining, operation inadequate",,
1286,1,0,"explosion, overpressurisation, reactors and reaction equipment, injury",process,
1287,0,2,sinking,,transport
1288,0,0,"refining, separation equipment",,
1289,30,1,"heat exchanger, cooling, pollution, methyl isocyanate, acetoaldoxime",,
1290,0,0,"ethylene, steam, cracking, pump, plant shutdown",,
1291,1,0,"spill, safety procedures inadequate",human,
1292,0,2,"separation equipment, filtration, methanol, fire - consequence",,
1293,1,3,"incorrect equipment installed, refining",equipment,
1294,0,0,"fire - consequence, material of construction failure, refining",,
1295,0,0,"fire - consequence, reactors and reaction equipment, refining",equipment,
1296,0,0,"control failure, damage to equipment, design or procedure error, fire - consequence, ",,
1297,0,0,"seal failure, sulphuric acid",equipment,
1298,3,9,"dust explosion, incorrect pressure",,
1299,0,0,"decomposition, fire - consequence, cooling",,
1300,0,0,"fluid cracker, catalytic cracker, fire - consequence, refining, cracking",,
1301,0,0,spill,,
1302,0,0,"fire - consequence, refining",,
1303,0,0,"fire - consequence, refining",,
1304,0,0,"fire - consequence, refining",,
1305,2,0,sinking,,transport
1306,0,0,"fire - consequence, damage to equipment, management system inadequate, refining",,
1307,0,0,"plant shutdown, operator error, cracking",human,
1308,0,0,"valve failure, maintenance inadequate","equipment, human",
1309,0,0,fire - consequence,,
1310,0,0,marine transport,external,
1311,17,0,"hose failure, gas / vapour release",equipment,
1312,0,0,"fire - consequence, refining, cracking",,
1313,0,1,heating,,
1314,0,0,"fire - consequence, refining",,
1315,0,0,unloading,,
1316,0,0,operator error,human,
1317,0,0,,,
1318,0,0,weather effects,,
1319,0,0,"fire - consequence, pump failure, refining, separation",equipment,
1320,0,0,"near miss, damage to equipment, weather effects",,nearmiss
1321,0,0,fire - consequence,process,
1322,0,0,"fire - consequence, heating",,
1323,12,0,"fire - consequence, human causes",,
1324,0,0,,,
1325,0,0,"maintenance inadequate, fire - consequence, refining",human,
1326,0,0,"mechanical equipment failure, management system inadequate, damage to equipment, product loss, refining",,
1327,0,0,refining,equipment,
1328,60,5,explosive,,
1329,0,0,,,
1330,0,0,"fire - consequence, refining",,
1331,0,0,"smelting furnace, heating",,
1332,0,0,"cooling equipment, tube failure, damage to equipment, cracking",equipment,
1333,0,0,"fire - consequence, cracking equipment",,
1334,0,0,"fire - consequence, mechanical equipment failure, gas / vapour release, isolation inadequate, weather effects",human,
1335,0,0,,,
1336,0,0,"refining, cold weather, fire - consequence",external,
1337,0,0,"loading, contamination, product loss, management system inadequate, operator error",human,
1338,0,0,gas / vapour release,equipment,nearmiss
1339,0,0,"operator error, refining, heating equipment",human,nearmiss
1340,0,0,"material of construction failure, incorrect material of construction","chemical, equipment",
1341,9,0,"mixing, gas / vapour release",,
1342,0,0,"weather effects, marine transport, inadequate mooring, near miss",external,nearmiss
1343,0,0,,,
1344,0,0,,,
1345,3,6,,,
1346,0,1,"fire - consequence, floating roof tank, static, road transport, fatality",process,
1347,0,0,"weld failure, installation inadequate, refining","equipment, human",
1348,0,0,"fire - consequence, instrumentation failure, operator error, gas / vapour release, heating","equipment, human",
1349,0,0,"weather effects, refining, fire - consequence, maintenance inadequate",human,
1350,0,1,asphyxiation,,
1351,0,0,,,
1352,0,0,"floating roof tank, refining, fire - consequence, damage to equipment",,
1353,0,0,material of construction failure,,
1354,15,0,,,
1355,0,0,"fire - consequence, plant shutdown, refining",,
1356,0,0,,,
1357,0,0,"fire - consequence, maintenance",,
1358,0,0,hose failure,equipment,
1359,0,0,"fire - consequence, refining",,
1360,0,0,"product loss, low pressure, reactors and reaction equipment, cracking",equipment,
1361,0,0,fire - consequence,,
1362,0,0,"catalytic cracker, refining, fire - consequence, fluid cracker",,
1363,12,6,"refining, cracking",equipment,
1364,0,6,"fire - consequence, damage to equipment, spill, fatality, cracking equipment",,
1365,-,0,"vapour cloud explosion, spark, fire - consequence, damage to equipment, rail transpor, gas / vapour release, injury",equipment,
1366,0,0,heating,,
1367,0,0,,,
1368,0, -,"environmental, damage to equipment, fatality, refining, cracking equipment",,
1369,0,0,"fire - consequence, heating",,
1370,7,0,,,
1371,8,9,"inspection inadequate, refining, fire - consequence",human,
1372,0,0,"radioactive release, spill",equipment,
1373,0,0,,,
1374,16,0,"evacuation, valve failure, refining, fire - consequence",equipment,
1375,0,0,"fire - consequence, inspection inadequate, reactors and reaction equipment, cracking","equipment, human",
1376,0,0,"evacuation, chemical - nitrate",,
1377,8,0,"damage to equipment, refining",,
1378,8,0,"fire - consequence, refining, damage to equipment",,
1379,0,0,fire - consequence,,
1380,0,0,"overpressurisation, gas / vapour release, contamination",process,
1381,0,0,"tritium, radioactive release, plant shutdown, spill, heating, drains & sewers",equipment,
1382,0,0,"overheating, agitation failure, gas / vapour release, mixing","equipment, process, utility",
1383,0,0,"catalytic cracker, fire - consequence, refining",,
1384,0,0,"refining, fire - consequence",,
1385,11,3,"fire - consequence, evacuation, explosion, charging reactor, reactors and reaction equipment",,
1386,4,3,fire - consequence,,
1387,4,1,"fire - consequence, refining",,
1388,30,0,,,
1389,0,0,"fire - consequence, refining",,
1390,0,0,"fire - consequence, extrusion",,
1391,2,1,"organic metal waste, unloading, material transfer",,
1392,0,0,"loading, unloading, computer failure, silo/hopper, damage to equipment",equipment,
1393,1,0,fire - consequence,,
1394,1460,206,"drains & sewers, damage to equipment, refining, evacuation, fatality",,
1395,0,0,"gas / vapour release, utility failure",,
1396,0,0,"plant shutdown, fire - consequence, refining, cracking",,
1397,0,0,fire - consequence,,
1398,0,0,"warehousing, fire - consequence, loading",,
1399,0,0,"reactors and reaction equipment, flange leak, cracking",process,
1400,0,0,fire - consequence,equipment,
1401,403,90,"overflow, fire - consequence, gas / vapour release",,
1402,0,0,"road transport, brakes faulty, fire - consequence",external,
1403,0,0,"fire - consequence, mechanical equipment failure, milling, solids processing equipment",,
1404,3,1,"fire - consequence, storage tanks, refining, fatality, injury, gas / vapour release",,
1405,0,0,"fire - consequence, refining",,
1406,0,0,operator error,human,
1407,0,0,"hose failure, refining, design or procedure error",equipment,
1408,0,0,"heating equipment, equipment causes",,
1409,0,0,"pollution, refining",,
1410,0,0,"damage to equipment, human causes",,
1411,0,0,"corrosive solution, processing, material transfer, loading, packaging equipment, tote, static discharge, unsafe condition, plant / property / equipment",process,
1412,6,0,"fire - consequence, refining, processing",,
1413,8,0,"fire - consequence, cracking",,
1414,5,1,"fatality, injury",external,people
1415,4,0,"fire - consequence, gas / vapour release",,"environmental, fire"
1416,-,6,,external,explosion
1417,0,0,,,explosion
1418,0,0,"derailment - consequence, chemicals unknown",,transport
1419,0,0,"derailment - consequence, freight train, spill, environmental",,"environmental, transport"
1420,0,0,"bauxite, magnesium ore, diesel oil, fuel oil, steering failure, near miss",external,nearmiss
1421,8, 150+,"passenger train, fatality, injury, fire - consequence",,"fire, people"
1422,0,0,"ship ran aground, chemicals unknown",external,
1423,3,1,"collision, derailment - consequence, fire - consequence, evacuation, injury, fatality",external,"explosion, fire, people, transport"
1424,-, 100+,"road tanker, fire - consequence, explosion, fatality",external,"explosion, fire, people"
1425,0,0,derailment - consequence,,transport
1426,0,0,"marine tanker, collision",external,environmental
1427,0,0,"sinking, spill, strong winds, ship ran aground",external,"environmental, transport"
1428,-, -,explosion,external,explosion
1429,0,0,"marine tanker, damage to equipment, ship ran aground",external,"environmental, plant"
1430,0,0,,,environmental
1431,-,1,"fire - consequence, fatality, evacuation",external,"explosion, fire, people"
1432,2,0,"freight train, collision, fire - consequence, derailment - consequence, injury",external,"fire, people, transport"
1433,300+,60,"fatality, injury, damage to equipment",external,"people, plant"
1434,300+, 60+,"explosion, fatality, injury",,"explosion, people"
1435,-,4,"freight train, derailment - consequence, fatality",external,"people, transport"
1436,61,0,injury,,people
1437,0,0,fire - consequence,,"environmental, fire"
1438,5,11,"fire - consequence, fatality, injury",,"explosion, fire, people, plant"
1439,-,25,"explosion, fatality, injury",external,"explosion, people"
1440,-,17,"explosion, fatality, injury",external,"explosion, people"
1441,2,0,"explosives, evacuation, injury",external,people
1442,0,0,"derailment, fire - consequence",,"fire, people"
1443,0,0,"derailment - consequence, fire - consequence, evacuation",,"fire, people, transport"
1444,0,0,"derailment - consequence, radioactive",,transport
1445,1,0,"fire - consequence, injury",external,"environmental, fire, people"
1446,-, -,"fire - consequence, deliberate acts",,"explosion, fire"
1447,0,0,"spill, environmental",,environmental
1448,0,0,,,environmental
1449,0,0,fire - consequence,,fire
1450,0,113,"aircraft, explosion , fire - consequence, fatality",,"explosion, fire, people"
1451,-,40,"fire - consequence, fatality, deliberate acts, injury",,"explosion, fire, people"
1452,0,0,evacuation,external,"environmental, people"
1453,-,2,"fire - consequence, fatality",,"explosion, fire, people"
1454,0,0,"fire - consequence, ship ran aground, sinking",external,"fire, transport"
1455,10, 16+,"fatality, explosion, burns, unidentified cause, injury","process, unidentified","explosion, people"
1456,0,0,"pipeline failure, environmental, ecological damage",equipment,environmental
1457,-, 30+,"fire - consequence, deliberate acts, fuel, injury",,"explosion, fire, people"
1458,1,0,"gas / vapour release, injury",external,"environmental, people, plant"
1459,100+, 100+,"deliberate acts, fatality, gasoline, injury",,"explosion, people"
1460,0,0,"collision, spill",external,environmental
1461,0,0,"river barge, collision",external,environmental
1462,1,0,"fire - consequence, injury",,"explosion, fire, people"
1463,0,0,"sinking, spill, ecological damage, material of construction failure",,"environmental, transport"
1464,-, 10+,"fire - consequence, deliberate acts, fatality, gasoline",,"explosion, fire, people"
1465,0,0,"derailment, evacuation",,"environmental, people"
1466,0,0,"derailment, evacuation",,people
1467,8,0,,,"environmental, people"
1468,0,0,"damage to equipment, derailment",,plant
1469,0,0,"derailment, fire - consequence, explosion, evacuation, damage to equipment, flammable chemical",,"explosion, fire, people, plant"
1470,1,1,"fatality, injury",,"people, transport"
1471,0,0,"evacuation, gas / vapour release, road transportation",,"environmental, people"
1472,0,0,"derailment - consequence, rain, spill, evacuation",external,"environmental, people, transport"
1473,0,0,"derailment, evacuation",,people
1474,0,0,"fire - consequence, gas / vapour release",,"environmental, explosion, fire"
1475,0,0,"derailment, spill, materials - hazardous",external,environmental
1476,0,0,"collision, unknown chemicals",external,"explosion, transport"
1477,0,0,"spill, evacuation, near miss",external,"environmental, nearmiss, people"
1478,0,0,"fire - consequence, mechanical equipment failure, evacuation",,"fire, people"
1479,0,0,"spill, environmental",,environmental
1480,0,0,"ship ran aground, transport effects",external,
1481,0,0,"steering failure, transport effects",external,
1482,0,0,"ecological damage, environmental",,environmental
1483,0,0,"near miss, collision, brakes faulty, evacuation, fire - consequence",external,"fire, nearmiss, people, transport"
1484,0,0,"inadequate mooring, transport effects",external,
1485,0,0,environmental,external,
1486,0,0,"evacuation, near miss",external,"nearmiss, people"
1487,0,0,unloading,,environmental
1488,0,0,"derailment - consequence, wheel broken",external,"people, transport"
1489,6,0,"gas / vapour release, people, evacuation, rail transport, injury",,"environmental, people"
1490,0,0,"fire - consequence, damage to equipment",,"explosion, fire, plant"
1491,-,50,"fire - consequence, deliberate acts",,fire
1492,0,0,"derailment, damage to equipment",,"environmental, plant"
1493,0,0,"spill, pollution",,environmental
1494,0,0,"derailment, fire - consequence",,"explosion, fire"
1495,0,0,"evacuation, derailment",external,"environmental, people"
1496,40+, 28+,"fire - consequence, fatality, sabotage, injury","equipment, external","fire, people"
1497,0,1,"fire - consequence, fatality",external,"fire, people"
1498,0,0,,external,environmental
1499,1,0,"explosion, fire - consequence, high pressure, injury",,"explosion, fire, people"
1500,0,0,,,environmental
1501,1,1,"container, explosion, fire - consequence, fatality, injury",external,"explosion, fire, people"
1502,4,0,"evacuation, injury",external,people
1503,0,0,"gas / vapour release, mechanical equipment failure",,environmental
1504,0,0,collision,external,environmental
1505,0,0,,,"environmental, plant"
1506,0,0,,external,"environmental, people"
1507,0,0,,,"environmental, plant"
1508,0,0,"contamination, people",,plant
1509,0,3,"aircraft, fire - consequence, explosion, fatality",,"explosion, fire, people"
1510,0,0,"derailment - consequence, evacuation",,"people, transport"
1511,0,0,,,environmental
1512,-,3,"collision, fatality",external,people
1513,0,0,spill,,environmental
1514,0,0,shipping incidents,,environmental
1515,0,0,contamination,external,"environmental, plant"
1516,0,0,,,people
1517,1,0,injury,external,people
1518,0,3,"fatality, sinking",,"environmental, explosion, people, transport"
1519,0,0,,external,environmental
1520,0,0,"spill, evacuation",,"environmental, people, plant"
1521,-,10,"burns, fire - consequence, fatality, collision, spill, weather effects",external,"environmental, fire, people"
1522,0,0,fire - consequence,,"fire, people"
1523,0,0,"fire - consequence, evacuation",,"fire, people"
1524,0,0,weather effects,,"environmental, people"
1525,0,0,spill,,environmental
1526,0,0,"near miss, loss of control",external,nearmiss
1527,0,0,"gas / vapour release, evacuation, near miss",,"environmental, nearmiss, people, plant"
1528,0,7,"fire - consequence, fatality",,"fire, people"
1529,-, -,"collision, sinking",external,transport
1530,0,0,"reactors and reaction equipment, near miss, radioactive, marine transportation",equipment,nearmiss
1531,0,0,"marine tanker, ship ran aground, weather effects, near miss",external,nearmiss
1532,0,4,"explosion, fire - consequence, fatality",,"explosion, fire, people"
1533,0,0,sinking,,"environmental, transport"
1534,80+, 15+,"fire - consequence, collision, fatality, gasoline, injury",external,"explosion, fire, people"
1535,0,0,"derailment - consequence, bearing failure, spill, evacuation",equipment,"environmental, people, transport"
1536,1+,2,"collision, derailment - consequence, fire - consequence, fatality",,"environmental, fire, people, transport"
1537,2,0,"road transport, road transportation, LPG, hot surface, leak, vapour cloud explosion, injury",external,"explosion, people"
1538,0,0,deliberate acts,,environmental
1539,0,0,"loss of control, driver error",external,environmental
1540,0,0,"container ship, collision",,"environmental, transport"
1541,-,2,"fire - consequence, fatality",,"fire, people"
1542,1,0,"loss of control, injury",external,"environmental, people"
1543,150+,31,"collision, fire - consequence, fatality, derailment - consequence, injury",,"fire, people, transport"
1544,0,0,pollution,,environmental
1545,0,0,damage to equipment,external,plant
1546,37,0,"damage to equipment, injury",external,"people, plant"
1547,13,0,injury,,"people, transport"
1548,0,0,"fire - consequence, damage to equipment, passenger ship",,"fire, plant"
1549,70+, 20+,"collision, fatality, injury",external,people
1550,2+,0,"derailment - consequence, collision, bulldozer/jcb/digger, injury",external,"people, transport"
1551,0,0,"heavy seas, spill, ecological damage",external,environmental
1552,0,0,,external,"environmental, plant"
1553,0,0,derailment - consequence,,"environmental, people, transport"
1554,20+,0,"container ship, passenger ship, collision, fire - consequence, near miss, spill, damage to equipment, cyanide product",external,"environmental, fire, nearmiss, plant"
1555,0,0,"derailment, near miss",,nearmiss
1556,0,10,"collision, weather effects, human causes, fire - consequence, fatality",,"fire, people, transport"
1557,0,0,"derailment - consequence, fire - consequence, spill, kerosene",,"environmental, fire, transport"
1558,1000+, 286+,"collision, derailment - consequence, rail incidents, explosion, fire - consequence, fatality, explosive, injury",,"explosion, fire, people, transport"
1559,0,0,"derailment - consequence, near miss",,"nearmiss, people, transport"
1560,16,0,"derailment - consequence, collision, injury",external,"people, transport"
1561,0,0,"derailment, evacuation",,"environmental, people"
1562,0,0,"fire - consequence, evacuation",,"fire, people"
1563,0,0,spill,,environmental
1564,0,0,"derailment - consequence, collision",external,"environmental, transport"
1565,20,0,"collision, derailment - consequence, injury",external,"people, transport"
1566,1,0,injury,external,"environmental, people"
1567,0,0,"sinking, collision, damage to equipment, spill",external,"environmental, plant, transport"
1568,0,0,derailment - consequence,external,"environmental, transport"
1569,0,0,derailment - consequence,,"environmental, transport"
1570,0,0,"ship ran aground, spill",external,environmental
1571,0,15,"fuel, fatality, product loss",,"explosion, people, plant"
1572,0,0,"fire - consequence, pipeline, crude oil, spill, leak",external,"environmental, fire"
1573,0,0,,,
1574,0,0,"material transfer, pipeline, crude oil",,"environmental, plant"
1575,0,3,"gas / vapour release, explosion, fire - consequence, fatality, spill",,"environmental, explosion, fire, people"
1576,0,3,"fire - consequence, evacuation, fatality, material of construction failure",,"environmental, explosion, fire, people, plant"
1577,1,0,fire - consequence,external,"environmental, fire"
1578,0,15,"fatality, burns, deliberate acts",,"environmental, people, plant"
1579,0,0,"ship ran aground, damage to equipment",external,plant
1580,50,5,"fatality, fire - consequence, collsion",external,"explosion, fire, people"
1581,0,0,fire - consequence,,"explosion, fire"
1582,50+, 40+,"road tanker, fire - consequence, gasoline",external,"fire, people"
1583,0,0,"spill, ship ran aground",external,environmental
1584,52,2,"derailment - consequence, fatality, injury",,"people, transport"
1585,1,1,"fire - consequence, fatality",external,"fire, people"
1586,30+, 30+,"fire - consequence, fatality, evacuation",,"fire, people"
1587,3,0,"collision, derailment - consequence, evacuation, near miss, injury",external,"environmental, nearmiss, people, transport"
1588,0,0,"evacuation, fire - consequence, near miss",,"fire, nearmiss, people"
1589,120+, 14+,"derailment - consequence, collision, road transport, fire - consequence, explosion, fatality",external,"explosion, fire, people, transport"
1590,11,122,"derailment - consequence, fire - consequence, damage to equipment, fatality, injury",external,"fire, people, plant, transport"
1591,0,0,"ship ran aground, pollution, weather effects",external,environmental
1592,0,0,"spill, human causes, corrosion",equipment,environmental
1593,0,0,collision,external,environmental
1594,0,4,"fire - consequence, explosion, aviation fuel, fatality",,"explosion, fire, people"
1595,1,10,"derailment - consequence, collision, human causes",external,transport
1596,2+,50,"road tanker, fire - consequence, fatality, burns, collision, gasoline, injury",external,"explosion, fire, people"
1597,0,0,"electrical equipment failure, road transportation, rail transportation, air transportation, plant / property / equipment, operation inadequate, electrical, lack of earthing",equipment,
1598,260, 192+,"derailment - consequence, collision, damage to equipment",external,"plant, transport"
1599,0,0,"collision, spill, environmental, damage to equipment",external,"environmental, plant"
1600,0,0,"collision, damage to equipment, pollution",external,"environmental, plant"
1601,260, 192+,"derailment - consequence, collision, fatality, damage to equipment",external,"people, plant, transport"
1602,-, 100+,"burns, fatality, fracture, transportation","equipment, human","explosion, people"
1603,0,0,"evacuation, sulphuric hydroxide, derailment, spill",external,"environmental, people"
1604,104,47,"fatality, derailment, brakes faulty, injury",external,people
1605,8,0,"waste, road tanker",equipment,environmental
1606,0,0,derailment,,
1607,1,0,"gas / vapour release, evacuation, injury",,"environmental, people"
1608,0,0,"near miss, spill",,"environmental, nearmiss"
1609,0,0,human causes,,environmental
1610,-,102,"metal fatigue, wheel broken, derailment - consequence",equipment,"plant, transport"
1611,-,102,"derailment - consequence, wheel broken, fatality, material of construction failure",,transport
1612,-,4,"fire - consequence, hose failure, hot surface, fatality","equipment, external",fire
1613,70+, -,"evacuation, road incidents",,environmental
1614,0,0,"material of construction failure, spill, design or procedure error",external,environmental
1615,70,11,"evacuation, transportation, damage to equipment, fatality, injury",,"explosion, plant"
1616,0,0,"spill, pollution",,environmental
1617,4, 15+,"sinking, weather effects, fatality",external,
1618,0,0,"marine transport, environmental",,environmental
1619,0,0,environmental,,environmental
1620,50+, 100+,,,explosion
1621,150,0,"fire - consequence, gasoline",human,"explosion, fire, transport"
1622,0,0,"derailment - consequence, rail incidents",,transport
1623,0,0,"evacuation, human causes, derailment - consequence, spill",,"environmental, transport"
1624,0,0,derailment,,
1625,100,0,"fire - consequence, explosion, injury",,"explosion, fire, transport"
1626,0,0,"fire - consequence, transportation",equipment,fire
1627,0,0,"terrorism, transportation",external,"environmental, explosion"
1628,0,0,"derailment - consequence, collision",external,"environmental, transport"
1629,0,0,"damage to equipment, human causes, transportation, gas / vapour release",,"environmental, plant"
1630,0,0,"collision, pollution",external,environmental
1631,0,0,spill,external,"environmental, transport"
1632,0,0,sinking,external,transport
1633,0,0,,external,
1634,0,0,ship ran aground,external,
1635,0,0,"derailment, spill, rail tanker",,environmental
1636,0,0,,,explosion
1637,0,0,ship ran aground,external,
1638,0,0,"human causes, transportation",equipment,"explosion, plant"
1639,0,0,"collision, damage to equipment",external,plant
1640,16,10,"fire - consequence, fatality, injury",,fire
1641,0,0,"pollution, transportation",,environmental
1642,0,0,"derailment - consequence, human causes",,transport
1643,0,0,"fire - consequence, transportation",external,"environmental, fire"
1644,0,0,collision,external,environmental
1645,0,0,,,environmental
1646,0,0,"weather effects, sinking",,transport
1647,0,0,damage to equipment,,"plant, transport"
1648,0,0,"fire - consequence, chemicals unknown",,fire
1649,0,0,damage to equipment,external,plant
1650,0,0,"damage to equipment, collision, near miss",external,"nearmiss, plant"
1651,0,0,collision,external,environmental
1652,0,4,"fire - consequence, fatality",,"explosion, fire"
1653,0,0,,,environmental
1654,0,1,"fatality, chemical causes, unknown chemicals",,explosion
1655,0,0,ship ran aground,external,
1656,0,0,"terrorism, transportation",external,"environmental, plant"
1657,3,6,"fatality, human causes, injury",,
1658,0,0,"spill, ship ran aground",external,environmental
1659,1,1,"fire - consequence, collision, evacuation, fatality, chemicals unknown",external,fire
1660,0,0,"ecological damage, leak, navigation error",external,environmental
1661,0,1,"transportation, human causes, fatality",,explosion
1662,0,2,"safety procedures inadequate, fatality",human,
1663,1,0,"collision, evacuation",external,environmental
1664,0,24,"weather effects, sinking",,transport
1665,0,0,"pollution, sinking",,"environmental, transport"
1666,0,0,"material of construction failure, transportation",,"environmental, plant"
1667,0,0,"sinking, weather effects",,transport
1668,0,0,fire - consequence,,fire
1669,2,1,"fatality, fire - consequence, derailment, collision, chemicals unknown, injury",external,fire
1670,2,1,"fire - consequence, collision, derailment - consequence, evacuation, fatality, injury",external,"fire, transport"
1671,0,0,"spill, transportation",,environmental
1672,0,0,pollution,,"environmental, plant"
1673,0,0,"spill, transportation",,environmental
1674,0,0,"environmental, human causes",,
1675,3,2,"fire - consequence, fatality",,"explosion, fire"
1676,0,0,"derailment, evacuation",,
1677,0,0,"collision, damage to equipment",,"plant, transport"
1678,0,0,ship ran aground,external,
1679,0,0,,,"environmental, plant"
1680,0,0,sinking,,transport
1681,0,0,"transportation, spill",,"environmental, plant"
1682,0,0,"fire - consequence, collision, sinking",external,"fire, transport"
1683,0,10,"fatality, mechanical equipment failure",,explosion
1684,0,0,"spill, collision",external,environmental
1685,0,0,"spill, collision",external,environmental
1686,0,0,,external,environmental
1687,0,0,material transfer,equipment,explosion
1688,0,0,collision,,transport
1689,12,2,"sinking, fatality, injury",,"explosion, transport"
1690,0,0,"ecological damage, transportation",,"environmental, plant"
1691,0,0,,,transport
